,date,bus,direction,interval,count(id),avg(duration),is_game_bus
0,2014-08-09,BX1,1,12:00-12:15,1,4467.0,1
1,2014-08-09,BX1,1,12:15-12:30,3,4627.66666667,1
2,2014-08-09,BX1,1,12:45-13:00,1,5257.0,1
3,2014-08-09,BX1,1,13:15-13:30,3,4969.33333333,1
4,2014-08-09,BX1,1,15:45-16:00,4,4235.25,1
5,2014-08-09,BX1,2,15:45-16:00,1,605.0,1
6,2014-08-09,BX1,1,16:00-16:15,4,3869.75,1
7,2014-08-09,BX1,1,16:15-16:30,4,4337.25,1
8,2014-08-09,BX1,1,16:30-16:45,1,4017.0,1
9,2014-08-09,BX1,1,16:45-17:00,3,3850.0,1
10,2014-08-09,BX1,1,17:00-17:15,4,4536.75,1
11,2014-08-09,BX1,2,17:00-17:15,1,2433.0,1
12,2014-08-09,BX1,1,17:15-17:30,2,3377.0,1
13,2014-08-09,BX1,1,17:30-17:45,2,4871.5,1
14,2014-08-09,BX13,1,11:45-12:00,1,2927.0,1
15,2014-08-09,BX13,2,12:00-12:15,1,1556.0,1
16,2014-08-09,BX13,1,12:15-12:30,1,2324.0,1
17,2014-08-09,BX13,2,12:15-12:30,1,2159.0,1
18,2014-08-09,BX13,2,12:30-12:45,1,1543.0,1
19,2014-08-09,BX13,1,12:30-12:45,1,2977.0,1
20,2014-08-09,BX13,1,13:00-13:15,1,2371.0,1
21,2014-08-09,BX13,2,13:00-13:15,1,2319.0,1
22,2014-08-09,BX13,1,13:15-13:30,1,2934.0,1
23,2014-08-09,BX13,2,13:15-13:30,1,1605.0,1
24,2014-08-09,BX13,2,13:30-13:45,1,1490.0,1
25,2014-08-09,BX13,1,13:30-13:45,2,2033.0,1
26,2014-08-09,BX13,1,15:45-16:00,1,2594.0,1
27,2014-08-09,BX13,2,15:45-16:00,3,1547.0,1
28,2014-08-09,BX13,1,16:00-16:15,2,2927.0,1
29,2014-08-09,BX13,2,16:00-16:15,1,2457.0,1
30,2014-08-09,BX13,2,16:15-16:30,1,2659.0,1
31,2014-08-09,BX13,2,16:30-16:45,2,3493.5,1
32,2014-08-09,BX13,1,16:30-16:45,1,2044.0,1
33,2014-08-09,BX13,1,16:45-17:00,1,2869.0,1
34,2014-08-09,BX13,2,16:45-17:00,1,2534.0,1
35,2014-08-09,BX13,2,17:00-17:15,1,1859.0,1
36,2014-08-09,BX13,1,17:15-17:30,1,2539.0,1
37,2014-08-09,BX13,1,17:30-17:45,1,3356.0,1
38,2014-08-09,BX13,2,17:30-17:45,1,2000.0,1
39,2014-08-09,BX6,1,11:45-12:00,4,2782.75,1
40,2014-08-09,BX6,1,12:00-12:15,2,2939.0,1
41,2014-08-09,BX6,1,12:15-12:30,3,3006.33333333,1
42,2014-08-09,BX6,1,12:30-12:45,1,2819.0,1
43,2014-08-09,BX6,1,12:45-13:00,6,3088.33333333,1
44,2014-08-09,BX6,1,13:00-13:15,2,3105.0,1
45,2014-08-09,BX6,1,13:15-13:30,4,3145.75,1
46,2014-08-09,BX6,1,13:30-13:45,4,2819.0,1
47,2014-08-09,BX6,1,15:45-16:00,2,4189.0,1
48,2014-08-09,BX6,1,16:00-16:15,4,2924.25,1
49,2014-08-09,BX6,1,16:15-16:30,3,2353.0,1
50,2014-08-09,BX6,1,16:30-16:45,3,3585.33333333,1
51,2014-08-09,BX6,1,16:45-17:00,2,3925.5,1
52,2014-08-09,BX6,2,17:00-17:15,1,2162.0,1
53,2014-08-09,BX6,1,17:00-17:15,3,2563.66666667,1
54,2014-08-09,BX6,1,17:15-17:30,6,2655.16666667,1
55,2014-08-09,BX6,1,17:30-17:45,3,3531.33333333,1
56,2014-08-09,Q48,1,11:45-12:00,1,5262.0,1
57,2014-08-09,Q48,1,12:00-12:15,1,1800.0,1
58,2014-08-09,Q48,1,12:30-12:45,1,1938.0,1
59,2014-08-09,Q48,1,12:45-13:00,1,2717.0,1
60,2014-08-09,Q48,1,13:00-13:15,1,1962.0,1
61,2014-08-09,Q48,1,13:15-13:30,1,1941.0,1
62,2014-08-09,Q48,1,13:30-13:45,2,2722.5,1
63,2014-08-09,Q48,1,15:45-16:00,1,3303.0,1
64,2014-08-09,Q48,1,16:00-16:15,1,2149.0,1
65,2014-08-09,Q48,1,16:15-16:30,1,2275.0,1
66,2014-08-09,Q48,1,16:30-16:45,1,4180.0,1
67,2014-08-09,Q48,1,16:45-17:00,1,2679.0,1
68,2014-08-09,Q48,1,17:15-17:30,1,2014.0,1
69,2014-08-10,BX1,1,17:45-18:00,3,2638.33333333,1
70,2014-08-10,BX1,1,18:00-18:15,3,4321.0,1
71,2014-08-10,BX1,1,18:15-18:30,2,3862.5,1
72,2014-08-10,BX1,1,18:30-18:45,2,5168.5,1
73,2014-08-10,BX1,1,18:45-19:00,3,4688.0,1
74,2014-08-10,BX1,1,19:00-19:15,1,5087.0,1
75,2014-08-10,BX1,1,19:15-19:30,3,4223.66666667,1
76,2014-08-10,BX1,1,19:30-19:45,2,4328.0,1
77,2014-08-10,BX1,1,21:45-22:00,2,4977.0,1
78,2014-08-10,BX1,1,22:00-22:15,3,4829.66666667,1
79,2014-08-10,BX1,1,22:15-22:30,2,4615.5,1
80,2014-08-10,BX1,1,22:30-22:45,2,4391.0,1
81,2014-08-10,BX1,2,23:00-23:15,1,3228.0,1
82,2014-08-10,BX1,1,23:00-23:15,2,3224.5,1
83,2014-08-10,BX1,1,23:15-23:30,2,1978.0,1
84,2014-08-10,BX1,1,23:30-23:45,1,1412.0,1
85,2014-08-10,BX13,1,17:45-18:00,2,2232.0,1
86,2014-08-10,BX13,2,17:45-18:00,2,1844.0,1
87,2014-08-10,BX13,2,18:00-18:15,1,251.0,1
88,2014-08-10,BX13,1,18:00-18:15,1,1861.0,1
89,2014-08-10,BX13,1,18:15-18:30,1,2830.0,1
90,2014-08-10,BX13,2,18:15-18:30,1,2991.0,1
91,2014-08-10,BX13,1,18:30-18:45,1,2410.0,1
92,2014-08-10,BX13,2,18:30-18:45,1,2336.0,1
93,2014-08-10,BX13,2,18:45-19:00,2,1732.5,1
94,2014-08-10,BX13,1,18:45-19:00,1,2236.0,1
95,2014-08-10,BX13,2,19:00-19:15,3,2114.0,1
96,2014-08-10,BX13,2,19:15-19:30,3,2763.66666667,1
97,2014-08-10,BX13,1,19:15-19:30,1,2926.0,1
98,2014-08-10,BX13,1,19:30-19:45,2,2441.5,1
99,2014-08-10,BX13,2,19:30-19:45,1,2331.0,1
100,2014-08-10,BX13,1,21:45-22:00,2,2487.5,1
101,2014-08-10,BX13,2,21:45-22:00,2,2400.5,1
102,2014-08-10,BX13,1,22:00-22:15,4,3326.0,1
103,2014-08-10,BX13,2,22:00-22:15,1,2672.0,1
104,2014-08-10,BX13,1,22:15-22:30,1,2357.0,1
105,2014-08-10,BX13,2,22:15-22:30,1,2784.0,1
106,2014-08-10,BX13,1,22:30-22:45,1,2098.0,1
107,2014-08-10,BX13,2,22:30-22:45,5,2141.0,1
108,2014-08-10,BX13,1,22:45-23:00,1,2364.0,1
109,2014-08-10,BX13,2,22:45-23:00,1,2052.0,1
110,2014-08-10,BX13,2,23:00-23:15,2,1574.5,1
111,2014-08-10,BX13,1,23:00-23:15,1,1940.0,1
112,2014-08-10,BX13,2,23:15-23:30,3,1879.0,1
113,2014-08-10,BX13,1,23:15-23:30,2,2185.0,1
114,2014-08-10,BX13,2,23:30-23:45,2,1580.5,1
115,2014-08-10,BX13,1,23:30-23:45,1,1733.0,1
116,2014-08-10,BX6,1,17:45-18:00,4,2828.25,1
117,2014-08-10,BX6,1,18:00-18:15,4,2833.25,1
118,2014-08-10,BX6,1,18:15-18:30,2,3062.5,1
119,2014-08-10,BX6,1,18:30-18:45,4,3221.0,1
120,2014-08-10,BX6,1,18:45-19:00,3,2924.33333333,1
121,2014-08-10,BX6,1,19:00-19:15,3,3381.0,1
122,2014-08-10,BX6,1,19:15-19:30,2,2844.0,1
123,2014-08-10,BX6,1,19:30-19:45,5,3084.2,1
124,2014-08-10,BX6,1,21:45-22:00,1,2573.0,1
125,2014-08-10,BX6,1,22:00-22:15,3,3128.0,1
126,2014-08-10,BX6,1,22:15-22:30,5,2665.0,1
