,date,bus,direction,interval,count(id),avg(duration),is_game_bus
0,2014-08-09,BX1,1,11:30-11:45,1,4286.0,0
1,2014-08-09,BX1,1,14:30-14:45,3,4110.0,0
2,2014-08-09,BX1,1,14:45-15:00,3,4066.33333333,0
3,2014-08-09,BX1,1,15:00-15:15,2,3100.0,0
4,2014-08-09,BX1,1,15:15-15:30,3,3958.66666667,0
5,2014-08-09,BX1,1,15:30-15:45,2,3689.0,0
6,2014-08-09,BX1,1,17:45-18:00,4,4014.5,0
7,2014-08-09,BX1,1,18:00-18:15,4,4121.75,0
8,2014-08-09,BX1,1,18:15-18:30,3,4052.33333333,0
9,2014-08-09,BX1,1,18:30-18:45,1,4248.0,0
10,2014-08-09,BX1,1,18:45-19:00,2,4959.0,0
11,2014-08-09,BX1,2,19:00-19:15,1,2569.0,0
12,2014-08-09,BX1,1,19:00-19:15,4,4453.5,0
13,2014-08-09,BX1,1,19:15-19:30,3,5072.0,0
14,2014-08-09,BX1,1,19:30-19:45,3,4445.33333333,0
15,2014-08-09,BX1,2,19:30-19:45,1,0.0,0
16,2014-08-09,BX1,1,20:00-20:15,1,4207.0,0
17,2014-08-09,BX1,1,20:15-20:30,4,3595.25,0
18,2014-08-09,BX1,1,21:30-21:45,4,4204.0,0
19,2014-08-09,BX1,1,21:45-22:00,2,5023.0,0
20,2014-08-09,BX1,1,22:00-22:15,1,4248.0,0
21,2014-08-09,BX1,1,22:15-22:30,1,4024.0,0
22,2014-08-09,BX1,1,22:30-22:45,2,4093.5,0
23,2014-08-09,BX1,1,23:00-23:15,2,3191.0,0
24,2014-08-09,BX1,1,23:15-23:30,1,2150.0,0
25,2014-08-09,BX13,1,11:30-11:45,1,2974.0,0
26,2014-08-09,BX13,2,11:30-11:45,1,1536.0,0
27,2014-08-09,BX13,1,14:30-14:45,1,2936.0,0
28,2014-08-09,BX13,2,14:30-14:45,1,95.0,0
29,2014-08-09,BX13,1,14:45-15:00,1,2525.0,0
30,2014-08-09,BX13,2,14:45-15:00,1,2107.0,0
31,2014-08-09,BX13,1,15:00-15:15,2,2545.0,0
32,2014-08-09,BX13,2,15:00-15:15,1,1854.0,0
33,2014-08-09,BX13,2,15:15-15:30,2,2646.5,0
34,2014-08-09,BX13,1,15:15-15:30,1,2339.0,0
