,0,1,2
0,BX1,114300,2014-08-08 20:00:17
1,BX1,112200,2014-08-08 20:00:20
2,BX1,113000,2014-08-08 20:00:20
3,BX1,113900,2014-08-08 20:00:21
4,BX1,115700,2014-08-08 20:00:21
5,BX1,115500,2014-08-08 20:00:22
6,BX1,117300,2014-08-08 20:00:25
7,BX1,117900,2014-08-08 20:00:25
8,BX1,114300,2014-08-08 20:00:43
9,BX1,114300,2014-08-08 20:01:14
10,BX1,114300,2014-08-08 20:01:22
11,BX1,112200,2014-08-08 20:01:23
12,BX1,113000,2014-08-08 20:01:23
13,BX1,113900,2014-08-08 20:01:23
14,BX1,115700,2014-08-08 20:01:24
15,BX1,115500,2014-08-08 20:01:25
16,BX1,117300,2014-08-08 20:01:28
17,BX1,117900,2014-08-08 20:01:28
18,BX1,114300,2014-08-08 20:02:16
19,BX1,114300,2014-08-08 20:02:25
20,BX1,112200,2014-08-08 20:02:26
21,BX1,113900,2014-08-08 20:02:26
22,BX1,115700,2014-08-08 20:02:27
23,BX1,115500,2014-08-08 20:02:28
24,BX1,113000,2014-08-08 20:02:29
25,BX1,117900,2014-08-08 20:02:30
26,BX1,117300,2014-08-08 20:02:31
27,BX1,114300,2014-08-08 20:02:56
28,BX1,112200,2014-08-08 20:02:57
29,BX1,113900,2014-08-08 20:02:57
30,BX1,115700,2014-08-08 20:02:58
31,BX1,115500,2014-08-08 20:02:59
32,BX1,113000,2014-08-08 20:03:00
33,BX1,117900,2014-08-08 20:03:01
34,BX1,117300,2014-08-08 20:03:02
35,BX1,114300,2014-08-08 20:03:20
36,BX1,114300,2014-08-08 20:03:52
37,BX1,114300,2014-08-08 20:03:59
38,BX1,112200,2014-08-08 20:04:00
39,BX1,113900,2014-08-08 20:04:01
40,BX1,115700,2014-08-08 20:04:01
41,BX1,115500,2014-08-08 20:04:02
42,BX1,113000,2014-08-08 20:04:03
43,BX1,117900,2014-08-08 20:04:04
44,BX1,117300,2014-08-08 20:04:06
45,BX1,114300,2014-08-08 20:04:24
46,BX1,112200,2014-08-08 20:05:03
47,BX1,114300,2014-08-08 20:05:03
48,BX1,115700,2014-08-08 20:05:04
49,BX1,113000,2014-08-08 20:05:05
50,BX1,113900,2014-08-08 20:05:05
51,BX1,115500,2014-08-08 20:05:06
52,BX1,117900,2014-08-08 20:05:06
53,BX1,117300,2014-08-08 20:05:08
54,BX1,114300,2014-08-08 20:05:27
55,BX1,112200,2014-08-08 20:05:35
56,BX1,114300,2014-08-08 20:05:35
57,BX1,115700,2014-08-08 20:05:35
58,BX1,115500,2014-08-08 20:05:36
59,BX1,113000,2014-08-08 20:05:37
60,BX1,113900,2014-08-08 20:05:37
61,BX1,114300,2014-08-08 20:06:01
