,Date,Double header code,Day of week,Visiting team,Visitor league,Visitor game number,Home team,Home team league,Home team game number,Time of day code,Postponement/cancellation,Date of makeup,time,starttime,endtime
9,20150406,0.0,Mon,TOR,AL,1.0,NYA,AL,1.0,D,,,1305,2015-04-06 13:05:00,2015-04-06 16:01:00
32,20150408,0.0,Wed,TOR,AL,2.0,NYA,AL,2.0,N,,,1905,2015-04-08 19:05:00,2015-04-08 22:01:00
42,20150409,0.0,Thu,TOR,AL,3.0,NYA,AL,3.0,N,,,1905,2015-04-09 19:05:00,2015-04-09 22:01:00
57,20150410,0.0,Fri,BOS,AL,4.0,NYA,AL,4.0,N,,,1905,2015-04-10 19:05:00,2015-04-10 22:01:00
72,20150411,0.0,Sat,BOS,AL,5.0,NYA,AL,5.0,D,,,1305,2015-04-11 13:05:00,2015-04-11 16:01:00
87,20150412,0.0,Sun,BOS,AL,6.0,NYA,AL,6.0,N,,,1905,2015-04-12 19:05:00,2015-04-12 22:01:00
245,20150424,0.0,Fri,NYN,NL,17.0,NYA,AL,17.0,N,,,1905,2015-04-24 19:05:00,2015-04-24 22:01:00
260,20150425,0.0,Sat,NYN,NL,18.0,NYA,AL,18.0,D,,,1305,2015-04-25 13:05:00,2015-04-25 16:01:00
275,20150426,0.0,Sun,NYN,NL,19.0,NYA,AL,19.0,N,,,1905,2015-04-26 19:05:00,2015-04-26 22:01:00
291,20150427,0.0,Mon,TBA,AL,20.0,NYA,AL,20.0,N,,,1905,2015-04-27 19:05:00,2015-04-27 22:01:00
305,20150428,0.0,Tue,TBA,AL,21.0,NYA,AL,21.0,N,,,1905,2015-04-28 19:05:00,2015-04-28 22:01:00
320,20150429,0.0,Wed,TBA,AL,22.0,NYA,AL,22.0,D,,,1305,2015-04-29 13:05:00,2015-04-29 16:01:00
425,20150507,0.0,Thu,BAL,AL,28.0,NYA,AL,29.0,N,,,1905,2015-05-07 19:05:00,2015-05-07 22:01:00
437,20150508,0.0,Fri,BAL,AL,29.0,NYA,AL,30.0,N,,,1905,2015-05-08 19:05:00,2015-05-08 22:01:00
452,20150509,0.0,Sat,BAL,AL,30.0,NYA,AL,31.0,D,,,1305,2015-05-09 13:05:00,2015-05-09 16:01:00
467,20150510,0.0,Sun,BAL,AL,31.0,NYA,AL,32.0,D,,,1305,2015-05-10 13:05:00,2015-05-10 16:01:00
630,20150522,0.0,Fri,TEX,AL,42.0,NYA,AL,42.0,N,,,1905,2015-05-22 19:05:00,2015-05-22 22:01:00
645,20150523,0.0,Sat,TEX,AL,43.0,NYA,AL,43.0,D,,,1305,2015-05-23 13:05:00,2015-05-23 16:01:00
660,20150524,0.0,Sun,TEX,AL,44.0,NYA,AL,44.0,N,,,1905,2015-05-24 19:05:00,2015-05-24 22:01:00
673,20150525,0.0,Mon,KCA,AL,45.0,NYA,AL,45.0,D,,,1305,2015-05-25 13:05:00,2015-05-25 16:01:00
688,20150526,0.0,Tue,KCA,AL,46.0,NYA,AL,46.0,N,,,1905,2015-05-26 19:05:00,2015-05-26 22:01:00
703,20150527,0.0,Wed,KCA,AL,47.0,NYA,AL,47.0,D,,,1305,2015-05-27 13:05:00,2015-05-27 16:01:00
822,20150605,0.0,Fri,ANA,AL,55.0,NYA,AL,55.0,N,,,1905,2015-06-05 19:05:00,2015-06-05 22:01:00
837,20150606,0.0,Sat,ANA,AL,56.0,NYA,AL,56.0,N,,,1905,2015-06-06 19:05:00,2015-06-06 22:01:00
852,20150607,0.0,Sun,ANA,AL,57.0,NYA,AL,57.0,D,,,1305,2015-06-07 13:05:00,2015-06-07 16:01:00
874,20150609,0.0,Tue,WAS,NL,58.0,NYA,AL,58.0,N,,,1905,2015-06-09 19:05:00,2015-06-09 22:01:00
889,20150610,0.0,Wed,WAS,NL,59.0,NYA,AL,59.0,D,,,1305,2015-06-10 13:05:00,2015-06-10 16:01:00
988,20150617,0.0,Wed,MIA,NL,67.0,NYA,AL,65.0,N,,,1905,2015-06-17 19:05:00,2015-06-17 22:01:00
1003,20150618,0.0,Thu,MIA,NL,68.0,NYA,AL,66.0,N,,,1905,2015-06-18 19:05:00,2015-06-18 22:01:00
1018,20150619,0.0,Fri,DET,AL,68.0,NYA,AL,67.0,N,,,1905,2015-06-19 19:05:00,2015-06-19 22:01:00
1033,20150620,0.0,Sat,DET,AL,69.0,NYA,AL,68.0,N,,,1905,2015-06-20 19:05:00,2015-06-20 22:01:00
1048,20150621,0.0,Sun,DET,AL,70.0,NYA,AL,69.0,D,,,1305,2015-06-21 13:05:00,2015-06-21 16:01:00
1058,20150622,0.0,Mon,PHI,NL,72.0,NYA,AL,70.0,N,,,1905,2015-06-22 19:05:00,2015-06-22 22:01:00
1069,20150623,0.0,Tue,PHI,NL,73.0,NYA,AL,71.0,N,,,1905,2015-06-23 19:05:00,2015-06-23 22:01:00
1084,20150624,0.0,Wed,PHI,NL,74.0,NYA,AL,72.0,D,,,1305,2015-06-24 13:05:00,2015-06-24 16:01:00
1207,20150703,0.0,Fri,TBA,AL,82.0,NYA,AL,80.0,N,,,1905,2015-07-03 19:05:00,2015-07-03 22:01:00
1222,20150704,0.0,Sat,TBA,AL,83.0,NYA,AL,81.0,D,,,1305,2015-07-04 13:05:00,2015-07-04 16:01:00
