,Date,Double header code,Day of week,Visiting team,Visitor league,Visitor game number,Home team,Home team league,Home team game number,Time of day code,Postponement/cancellation,Date of makeup,time,starttime,endtime
99,20150413,0.0,Mon,PHI,NL,7.0,NYN,NL,7.0,D,,,1310,2015-04-13 13:10:00,2015-04-13 16:06:00
113,20150414,0.0,Tue,PHI,NL,8.0,NYN,NL,8.0,N,,,1910,2015-04-14 19:10:00,2015-04-14 22:06:00
127,20150415,0.0,Wed,PHI,NL,9.0,NYN,NL,9.0,N,,,1910,2015-04-15 19:10:00,2015-04-15 22:06:00
135,20150416,0.0,Thu,MIA,NL,10.0,NYN,NL,10.0,N,,,1910,2015-04-16 19:10:00,2015-04-16 22:06:00
147,20150417,0.0,Fri,MIA,NL,11.0,NYN,NL,11.0,N,,,1910,2015-04-17 19:10:00,2015-04-17 22:06:00
162,20150418,0.0,Sat,MIA,NL,12.0,NYN,NL,12.0,N,,,1910,2015-04-18 19:10:00,2015-04-18 22:06:00
177,20150419,0.0,Sun,MIA,NL,13.0,NYN,NL,13.0,D,,,1310,2015-04-19 13:10:00,2015-04-19 16:06:00
201,20150421,0.0,Tue,ATL,NL,13.0,NYN,NL,14.0,N,,,1910,2015-04-21 19:10:00,2015-04-21 22:06:00
216,20150422,0.0,Wed,ATL,NL,14.0,NYN,NL,15.0,N,,,1910,2015-04-22 19:10:00,2015-04-22 22:06:00
229,20150423,0.0,Thu,ATL,NL,15.0,NYN,NL,16.0,D,,,1310,2015-04-23 13:10:00,2015-04-23 16:06:00
330,20150430,0.0,Thu,WAS,NL,23.0,NYN,NL,23.0,N,,,1910,2015-04-30 19:10:00,2015-04-30 22:06:00
343,20150501,0.0,Fri,WAS,NL,24.0,NYN,NL,24.0,N,,,1910,2015-05-01 19:10:00,2015-05-01 22:06:00
358,20150502,0.0,Sat,WAS,NL,25.0,NYN,NL,25.0,N,,,1910,2015-05-02 19:10:00,2015-05-02 22:06:00
373,20150503,0.0,Sun,WAS,NL,26.0,NYN,NL,26.0,D,,,1310,2015-05-03 13:10:00,2015-05-03 16:06:00
398,20150505,0.0,Tue,BAL,AL,26.0,NYN,NL,27.0,N,,,1910,2015-05-05 19:10:00,2015-05-05 22:06:00
413,20150506,0.0,Wed,BAL,AL,27.0,NYN,NL,28.0,N,,,1910,2015-05-06 19:10:00,2015-05-06 22:06:00
534,20150515,0.0,Fri,MIL,NL,36.0,NYN,NL,36.0,N,,,1910,2015-05-15 19:10:00,2015-05-15 22:06:00
549,20150516,0.0,Sat,MIL,NL,37.0,NYN,NL,37.0,N,,,1910,2015-05-16 19:10:00,2015-05-16 22:06:00
564,20150517,0.0,Sun,MIL,NL,38.0,NYN,NL,38.0,D,,,1310,2015-05-17 13:10:00,2015-05-17 16:06:00
576,20150518,0.0,Mon,SLN,NL,39.0,NYN,NL,39.0,N,,,1910,2015-05-18 19:10:00,2015-05-18 22:06:00
587,20150519,0.0,Tue,SLN,NL,40.0,NYN,NL,40.0,N,,,1910,2015-05-19 19:10:00,2015-05-19 22:06:00
602,20150520,0.0,Wed,SLN,NL,41.0,NYN,NL,41.0,N,,,1910,2015-05-20 19:10:00,2015-05-20 22:06:00
615,20150521,0.0,Thu,SLN,NL,42.0,NYN,NL,42.0,D,,,1310,2015-05-21 13:10:00,2015-05-21 16:06:00
674,20150525,0.0,Mon,PHI,NL,47.0,NYN,NL,46.0,D,,,1310,2015-05-25 13:10:00,2015-05-25 16:06:00
689,20150526,0.0,Tue,PHI,NL,48.0,NYN,NL,47.0,N,,,1910,2015-05-26 19:10:00,2015-05-26 22:06:00
704,20150527,0.0,Wed,PHI,NL,49.0,NYN,NL,48.0,D,,,1310,2015-05-27 13:10:00,2015-05-27 16:06:00
723,20150529,0.0,Fri,MIA,NL,49.0,NYN,NL,49.0,N,,,1910,2015-05-29 19:10:00,2015-05-29 22:06:00
738,20150530,0.0,Sat,MIA,NL,50.0,NYN,NL,50.0,D,,,1310,2015-05-30 13:10:00,2015-05-30 16:06:00
753,20150531,0.0,Sun,MIA,NL,51.0,NYN,NL,51.0,D,,,1310,2015-05-31 13:10:00,2015-05-31 16:06:00
875,20150609,0.0,Tue,SFN,NL,59.0,NYN,NL,59.0,N,,,1910,2015-06-09 19:10:00,2015-06-09 22:06:00
890,20150610,0.0,Wed,SFN,NL,60.0,NYN,NL,60.0,N,,,1910,2015-06-10 19:10:00,2015-06-10 22:06:00
901,20150611,0.0,Thu,SFN,NL,61.0,NYN,NL,61.0,N,,,1910,2015-06-11 19:10:00,2015-06-11 22:06:00
912,20150612,0.0,Fri,ATL,NL,61.0,NYN,NL,62.0,N,,,1910,2015-06-12 19:10:00,2015-06-12 22:06:00
927,20150613,0.0,Sat,ATL,NL,62.0,NYN,NL,63.0,D,,,1310,2015-06-13 13:10:00,2015-06-13 16:06:00
942,20150614,0.0,Sun,ATL,NL,63.0,NYN,NL,64.0,D,,,1310,2015-06-14 13:10:00,2015-06-14 16:06:00
957,20150615,0.0,Mon,TOR,AL,65.0,NYN,NL,65.0,N,,,1910,2015-06-15 19:10:00,2015-06-15 22:06:00
972,20150616,0.0,Tue,TOR,AL,66.0,NYN,NL,66.0,N,,,1910,2015-06-16 19:10:00,2015-06-16 22:06:00
1108,20150626,0.0,Fri,CIN,NL,74.0,NYN,NL,75.0,N,,,1910,2015-06-26 19:10:00,2015-06-26 22:06:00
1123,20150627,0.0,Sat,CIN,NL,75.0,NYN,NL,76.0,D,,,1310,2015-06-27 13:10:00,2015-06-27 16:06:00
1138,20150628,0.0,Sun,CIN,NL,76.0,NYN,NL,77.0,D,,,1310,2015-06-28 13:10:00,2015-06-28 16:06:00
1164,20150630,0.0,Tue,CHN,NL,79.0,NYN,NL,78.0,N,,,1910,2015-06-30 19:10:00,2015-06-30 22:06:00
1179,20150701,0.0,Wed,CHN,NL,80.0,NYN,NL,79.0,N,,,1910,2015-07-01 19:10:00,2015-07-01 22:06:00
1192,20150702,0.0,Thu,CHN,NL,81.0,NYN,NL,80.0,D,,,1310,2015-07-02 13:10:00,2015-07-02 16:06:00
1303,20150710,0.0,Fri,ARI,NL,86.0,NYN,NL,87.0,N,,,1910,2015-07-10 19:10:00,2015-07-10 22:06:00
1318,20150711,0.0,Sat,ARI,NL,87.0,NYN,NL,88.0,D,,,1310,2015-07-11 13:10:00,2015-07-11 16:06:00
1333,20150712,0.0,Sun,ARI,NL,88.0,NYN,NL,89.0,D,,,1310,2015-07-12 13:10:00,2015-07-12 16:06:00
1430,20150723,0.0,Thu,LAN,NL,97.0,NYN,NL,96.0,N,,,1910,2015-07-23 19:10:00,2015-07-23 22:06:00
1442,20150724,0.0,Fri,LAN,NL,98.0,NYN,NL,97.0,N,,,1910,2015-07-24 19:10:00,2015-07-24 22:06:00
1457,20150725,0.0,Sat,LAN,NL,99.0,NYN,NL,98.0,N,,,1910,2015-07-25 19:10:00,2015-07-25 22:06:00
1472,20150726,0.0,Sun,LAN,NL,100.0,NYN,NL,99.0,D,,,1310,2015-07-26 13:10:00,2015-07-26 16:06:00
1496,20150728,0.0,Tue,SDN,NL,101.0,NYN,NL,100.0,N,,,1910,2015-07-28 19:10:00,2015-07-28 22:06:00
1511,20150729,0.0,Wed,SDN,NL,102.0,NYN,NL,101.0,N,,,1910,2015-07-29 19:10:00,2015-07-29 22:06:00
1525,20150730,0.0,Thu,SDN,NL,103.0,NYN,NL,102.0,D,,,1310,2015-07-30 13:10:00,2015-07-30 16:06:00
1540,20150731,0.0,Fri,WAS,NL,102.0,NYN,NL,103.0,N,,,1910,2015-07-31 19:10:00,2015-07-31 22:06:00
1555,20150801,0.0,Sat,WAS,NL,103.0,NYN,NL,104.0,N,,,1910,2015-08-01 19:10:00,2015-08-01 22:06:00
1570,20150802,0.0,Sun,WAS,NL,104.0,NYN,NL,105.0,D,,,1310,2015-08-02 13:10:00,2015-08-02 16:06:00
1676,20150810,0.0,Mon,COL,NL,112.0,NYN,NL,112.0,N,,,1910,2015-08-10 19:10:00,2015-08-10 22:06:00
1687,20150811,0.0,Tue,COL,NL,113.0,NYN,NL,113.0,N,,,1910,2015-08-11 19:10:00,2015-08-11 22:06:00
1702,20150812,0.0,Wed,COL,NL,114.0,NYN,NL,114.0,N,,,1910,2015-08-12 19:10:00,2015-08-12 22:06:00
1714,20150813,0.0,Thu,COL,NL,115.0,NYN,NL,115.0,D,,,1310,2015-08-13 13:10:00,2015-08-13 16:06:00
1728,20150814,0.0,Fri,PIT,NL,114.0,NYN,NL,116.0,N,,,1910,2015-08-14 19:10:00,2015-08-14 22:06:00
1743,20150815,0.0,Sat,PIT,NL,115.0,NYN,NL,117.0,N,,,1910,2015-08-15 19:10:00,2015-08-15 22:06:00
1758,20150816,0.0,Sun,PIT,NL,116.0,NYN,NL,118.0,D,,,1310,2015-08-16 13:10:00,2015-08-16 16:06:00
1915,20150828,0.0,Fri,BOS,AL,128.0,NYN,NL,128.0,N,,,1910,2015-08-28 19:10:00,2015-08-28 22:06:00
1930,20150829,0.0,Sat,BOS,AL,129.0,NYN,NL,129.0,D,,,1310,2015-08-29 13:10:00,2015-08-29 16:06:00
1945,20150830,0.0,Sun,BOS,AL,130.0,NYN,NL,130.0,D,,,1310,2015-08-30 13:10:00,2015-08-30 16:06:00
1960,20150831,0.0,Mon,PHI,NL,132.0,NYN,NL,131.0,N,,,1910,2015-08-31 19:10:00,2015-08-31 22:06:00
1975,20150901,0.0,Tue,PHI,NL,133.0,NYN,NL,132.0,N,,,1910,2015-09-01 19:10:00,2015-09-01 22:06:00
1990,20150902,0.0,Wed,PHI,NL,134.0,NYN,NL,133.0,N,,,1910,2015-09-02 19:10:00,2015-09-02 22:06:00
2149,20150914,0.0,Mon,MIA,NL,144.0,NYN,NL,144.0,N,,,1910,2015-09-14 19:10:00,2015-09-14 22:06:00
2163,20150915,0.0,Tue,MIA,NL,145.0,NYN,NL,145.0,N,,,1910,2015-09-15 19:10:00,2015-09-15 22:06:00
2178,20150916,0.0,Wed,MIA,NL,146.0,NYN,NL,146.0,N,,,1910,2015-09-16 19:10:00,2015-09-16 22:06:00
2203,20150918,0.0,Fri,NYA,AL,146.0,NYN,NL,147.0,N,,,1910,2015-09-18 19:10:00,2015-09-18 22:06:00
2218,20150919,0.0,Sat,NYA,AL,147.0,NYN,NL,148.0,D,,,1310,2015-09-19 13:10:00,2015-09-19 16:06:00
2233,20150920,0.0,Sun,NYA,AL,148.0,NYN,NL,149.0,D,,,1310,2015-09-20 13:10:00,2015-09-20 16:06:00
2245,20150921,0.0,Mon,ATL,NL,151.0,NYN,NL,150.0,N,,,1910,2015-09-21 19:10:00,2015-09-21 22:06:00
2258,20150922,0.0,Tue,ATL,NL,152.0,NYN,NL,151.0,N,,,1910,2015-09-22 19:10:00,2015-09-22 22:06:00
2273,20150923,0.0,Wed,ATL,NL,153.0,NYN,NL,152.0,N,,,1910,2015-09-23 19:10:00,2015-09-23 22:06:00
2408,20151003,0.0,Sat,WAS,NL,161.0,NYN,NL,161.0,N,,,1910,2015-10-03 19:10:00,2015-10-03 22:06:00
2423,20151004,0.0,Sun,WAS,NL,162.0,NYN,NL,162.0,D,,,1310,2015-10-04 13:10:00,2015-10-04 16:06:00
