,Home team,starttime,endtime,startwindow_start,startwindow_end,endwindow_start,endwindow_end
0,NYN,2014-03-31 13:10:00,2014-03-31 16:06:00,2014-03-31 11:40:00,2014-03-31 13:40:00,2014-03-31 15:36:00,2014-03-31 17:36:00
1,NYN,2014-04-02 19:10:00,2014-04-02 22:06:00,2014-04-02 17:40:00,2014-04-02 19:40:00,2014-04-02 21:36:00,2014-04-02 23:36:00
2,NYN,2014-04-03 13:10:00,2014-04-03 16:06:00,2014-04-03 11:40:00,2014-04-03 13:40:00,2014-04-03 15:36:00,2014-04-03 17:36:00
3,NYN,2014-04-04 19:10:00,2014-04-04 22:06:00,2014-04-04 17:40:00,2014-04-04 19:40:00,2014-04-04 21:36:00,2014-04-04 23:36:00
4,NYN,2014-04-05 16:05:00,2014-04-05 19:01:00,2014-04-05 14:35:00,2014-04-05 16:35:00,2014-04-05 18:31:00,2014-04-05 20:31:00
5,NYN,2014-04-06 13:10:00,2014-04-06 16:06:00,2014-04-06 11:40:00,2014-04-06 13:40:00,2014-04-06 15:36:00,2014-04-06 17:36:00
6,NYA,2014-04-07 13:05:00,2014-04-07 16:01:00,2014-04-07 11:35:00,2014-04-07 13:35:00,2014-04-07 15:31:00,2014-04-07 17:31:00
7,NYA,2014-04-08 13:05:00,2014-04-08 16:01:00,2014-04-08 11:35:00,2014-04-08 13:35:00,2014-04-08 15:31:00,2014-04-08 17:31:00
8,NYA,2014-04-09 19:05:00,2014-04-09 22:01:00,2014-04-09 17:35:00,2014-04-09 19:35:00,2014-04-09 21:31:00,2014-04-09 23:31:00
9,NYA,2014-04-10 19:05:00,2014-04-10 22:01:00,2014-04-10 17:35:00,2014-04-10 19:35:00,2014-04-10 21:31:00,2014-04-10 23:31:00
10,NYA,2014-04-11 19:05:00,2014-04-11 22:01:00,2014-04-11 17:35:00,2014-04-11 19:35:00,2014-04-11 21:31:00,2014-04-11 23:31:00
11,NYA,2014-04-12 13:05:00,2014-04-12 16:01:00,2014-04-12 11:35:00,2014-04-12 13:35:00,2014-04-12 15:31:00,2014-04-12 17:31:00
12,NYA,2014-04-13 19:05:00,2014-04-13 22:01:00,2014-04-13 17:35:00,2014-04-13 19:35:00,2014-04-13 21:31:00,2014-04-13 23:31:00
13,NYA,2014-04-16 19:05:00,2014-04-16 22:01:00,2014-04-16 17:35:00,2014-04-16 19:35:00,2014-04-16 21:31:00,2014-04-16 23:31:00
14,NYN,2014-04-18 19:10:00,2014-04-18 22:06:00,2014-04-18 17:40:00,2014-04-18 19:40:00,2014-04-18 21:36:00,2014-04-18 23:36:00
15,NYN,2014-04-19 19:10:00,2014-04-19 22:06:00,2014-04-19 17:40:00,2014-04-19 19:40:00,2014-04-19 21:36:00,2014-04-19 23:36:00
16,NYN,2014-04-20 13:10:00,2014-04-20 16:06:00,2014-04-20 11:40:00,2014-04-20 13:40:00,2014-04-20 15:36:00,2014-04-20 17:36:00
17,NYN,2014-04-21 19:10:00,2014-04-21 22:06:00,2014-04-21 17:40:00,2014-04-21 19:40:00,2014-04-21 21:36:00,2014-04-21 23:36:00
18,NYN,2014-04-22 19:10:00,2014-04-22 22:06:00,2014-04-22 17:40:00,2014-04-22 19:40:00,2014-04-22 21:36:00,2014-04-22 23:36:00
19,NYN,2014-04-23 19:10:00,2014-04-23 22:06:00,2014-04-23 17:40:00,2014-04-23 19:40:00,2014-04-23 21:36:00,2014-04-23 23:36:00
20,NYN,2014-04-24 13:10:00,2014-04-24 16:06:00,2014-04-24 11:40:00,2014-04-24 13:40:00,2014-04-24 15:36:00,2014-04-24 17:36:00
21,NYA,2014-04-25 19:05:00,2014-04-25 22:01:00,2014-04-25 17:35:00,2014-04-25 19:35:00,2014-04-25 21:31:00,2014-04-25 23:31:00
22,NYN,2014-04-25 19:10:00,2014-04-25 22:06:00,2014-04-25 17:40:00,2014-04-25 19:40:00,2014-04-25 21:36:00,2014-04-25 23:36:00
23,NYA,2014-04-26 13:05:00,2014-04-26 16:01:00,2014-04-26 11:35:00,2014-04-26 13:35:00,2014-04-26 15:31:00,2014-04-26 17:31:00
24,NYN,2014-04-26 19:10:00,2014-04-26 22:06:00,2014-04-26 17:40:00,2014-04-26 19:40:00,2014-04-26 21:36:00,2014-04-26 23:36:00
25,NYA,2014-04-27 19:05:00,2014-04-27 22:01:00,2014-04-27 17:35:00,2014-04-27 19:35:00,2014-04-27 21:31:00,2014-04-27 23:31:00
26,NYN,2014-04-27 13:10:00,2014-04-27 16:06:00,2014-04-27 11:40:00,2014-04-27 13:40:00,2014-04-27 15:36:00,2014-04-27 17:36:00
27,NYA,2014-04-29 19:05:00,2014-04-29 22:01:00,2014-04-29 17:35:00,2014-04-29 19:35:00,2014-04-29 21:31:00,2014-04-29 23:31:00
28,NYA,2014-05-01 19:05:00,2014-05-01 22:01:00,2014-05-01 17:35:00,2014-05-01 19:35:00,2014-05-01 21:31:00,2014-05-01 23:31:00
29,NYA,2014-05-02 19:05:00,2014-05-02 22:01:00,2014-05-02 17:35:00,2014-05-02 19:35:00,2014-05-02 21:31:00,2014-05-02 23:31:00
30,NYA,2014-05-03 13:05:00,2014-05-03 16:01:00,2014-05-03 11:35:00,2014-05-03 13:35:00,2014-05-03 15:31:00,2014-05-03 17:31:00
31,NYA,2014-05-04 13:05:00,2014-05-04 16:01:00,2014-05-04 11:35:00,2014-05-04 13:35:00,2014-05-04 15:31:00,2014-05-04 17:31:00
32,NYN,2014-05-09 19:10:00,2014-05-09 22:06:00,2014-05-09 17:40:00,2014-05-09 19:40:00,2014-05-09 21:36:00,2014-05-09 23:36:00
33,NYN,2014-05-10 19:10:00,2014-05-10 22:06:00,2014-05-10 17:40:00,2014-05-10 19:40:00,2014-05-10 21:36:00,2014-05-10 23:36:00
34,NYN,2014-05-11 13:10:00,2014-05-11 16:06:00,2014-05-11 11:40:00,2014-05-11 13:40:00,2014-05-11 15:36:00,2014-05-11 17:36:00
35,NYA,2014-05-12 19:05:00,2014-05-12 22:01:00,2014-05-12 17:35:00,2014-05-12 19:35:00,2014-05-12 21:31:00,2014-05-12 23:31:00
36,NYA,2014-05-13 19:05:00,2014-05-13 22:01:00,2014-05-13 17:35:00,2014-05-13 19:35:00,2014-05-13 21:31:00,2014-05-13 23:31:00
37,NYN,2014-05-14 19:10:00,2014-05-14 22:06:00,2014-05-14 17:40:00,2014-05-14 19:40:00,2014-05-14 21:36:00,2014-05-14 23:36:00
38,NYN,2014-05-15 19:10:00,2014-05-15 22:06:00,2014-05-15 17:40:00,2014-05-15 19:40:00,2014-05-15 21:36:00,2014-05-15 23:36:00
